"Area","Check","Result","Evidence","Status","Next Action"
"Build","Production build completes","Passed","npm.cmd run build generated 49 static app routes including robots.txt and sitemap.xml","QA Passed","Run again before deployment"
"Lint","ESLint passes","Passed","npm.cmd run lint returned no warnings or errors","QA Passed","Run again before deployment"
"TypeScript","TypeScript check passes","Passed","npx.cmd tsc --noEmit returned exit code 0","QA Passed","Run again before deployment"
"Inventory","Public routes scanned","Passed","seo-audit/02-SITE-INVENTORY.csv contains 44 public app routes","QA Passed","Refresh after route changes"
"Titles","Missing or duplicate titles","Passed","No missing or duplicate titles found in generated HTML","QA Passed","Monitor after content edits"
"Descriptions","Missing or duplicate meta descriptions","Passed","No missing or duplicate descriptions found in generated HTML","QA Passed","Monitor after content edits"
"H1","Missing, duplicate, or multiple H1s","Passed","No missing H1s, duplicate H1s, or multiple H1 pages found","QA Passed","Monitor after content edits"
"Canonicals","Self-referencing production canonicals","Passed","All canonical URLs use https://www.softzino.com","QA Passed","Recheck after domain or trailing-slash changes"
"Indexability","Production noindex check","Passed","No accidental noindex found in production build","QA Passed","Recheck after environment changes"
"Robots","Production robots output","Passed","robots.txt allows crawling and references https://www.softzino.com/sitemap.xml","QA Passed","Confirm after deployment"
"Sitemap","Production sitemap output","Passed","sitemap.xml includes 44 canonical URLs using https://www.softzino.com","QA Passed","Confirm URL list before launch"
"Open Graph","OG title, description, URL","Passed","Generated pages include OG title, description, and URL","QA Passed","Add page-specific social images if approved"
"Twitter","Twitter card metadata","Passed","Generated pages include Twitter card, title, and description","QA Passed","Add page-specific social images if approved"
"Schema","Organization and WebSite schema","Passed","Sitewide JSON-LD uses brand, URL, and logo only","QA Passed","Add sameAs or legal facts only when approved"
"Schema","Service and BreadcrumbList schema","Passed","Reusable service templates emit Service and BreadcrumbList JSON-LD","QA Passed","Validate production URLs post-deploy"
"Schema","Disallowed schema","Passed","No LocalBusiness, review, rating, or fake FAQ properties were added","QA Passed","Keep blocked until proof exists"
"Internal links","Broken links","Passed","No broken internal links found in generated HTML","QA Passed","Recheck after content or nav changes"
"Orphans","Orphan pages","Passed","No app routes without internal links found","QA Passed","Recheck after sitemap or nav changes"
"Routes","Duplicate or overlapping custom software routes","Passed","No /services/custom-software-development route exists","QA Passed","Keep /solutions/custom-software-solutions as the only custom software URL"
"Redirects","Approved redirect map","Blocked","seo/08-REDIRECT-MAP.csv still uses TBD old URLs","Blocked","Run legacy crawl and approve final redirects"
"Hosting","Static export redirect support","Blocked","next.config.mjs exports only when GITHUB_PAGES=true; static export cannot rely on Next server redirects","Blocked","Configure redirects in the selected host if legacy redirects are approved"
"Analytics","GA4/GTM installation","Conditional","Code only loads valid NEXT_PUBLIC_GA_MEASUREMENT_ID or NEXT_PUBLIC_GTM_ID values","QA Passed","Provide real IDs in environment variables"
"Lead form","Real lead destination","Blocked","NEXT_PUBLIC_LEAD_ENDPOINT is required; no endpoint is hardcoded","Blocked","Provide HTTPS endpoint, CRM, email service, API, webhook, or calendar route"
"Lead tracking","Confirmed generate_lead","Blocked","generate_lead fires only after endpoint success","Blocked","Test after real endpoint is configured"
"Staging","Preview noindex behavior","Passed","VERCEL_ENV=preview build produced Disallow: / in robots.txt and a homepage robots noindex tag","QA Passed","Repeat on actual preview deployment"
