Seed ID,Keyword,Market,Language,Service Cluster,Intent,Buyer Stage,Page Type,Suggested Target URL,Keyword Role,Volume,CPC,KD,SERP Features,Dominant SERP Page Type,Business Value,Proof Needed,Status,Source,Source Date,Notes
S-001,software development company,Global English,English,Core Software Positioning,Commercial,Vendor shortlist,Service page,/,Primary candidate,,,,Validate in Semrush,Validate manually,High,"Company capabilities, clients, case studies, and delivery model",Research Required,Softzino service catalog and existing SEO planning files,2026-09-09,"Confirm country-level demand, intent, SERP type, and business fit before approval."
S-002,software engineering company,Global English,English,Core Software Positioning,Commercial,Vendor shortlist,Service page,/,Secondary candidate,,,,Validate in Semrush,Validate manually,High,"Company capabilities, clients, case studies, and delivery model",Research Required,Softzino service catalog and existing SEO planning files,2026-09-09,"Confirm country-level demand, intent, SERP type, and business fit before approval."
S-003,software development services,Global English,English,Core Software Positioning,Commercial,Vendor shortlist,Service page,/,Secondary candidate,,,,Validate in Semrush,Validate manually,High,"Company capabilities, clients, case studies, and delivery model",Research Required,Softzino service catalog and existing SEO planning files,2026-09-09,"Confirm country-level demand, intent, SERP type, and business fit before approval."
S-004,product engineering company,Global English,English,Core Software Positioning,Commercial,Vendor shortlist,Service page,/,Secondary candidate,,,,Validate in Semrush,Validate manually,High,"Company capabilities, clients, case studies, and delivery model",Research Required,Softzino service catalog and existing SEO planning files,2026-09-09,"Confirm country-level demand, intent, SERP type, and business fit before approval."
S-005,digital product engineering services,Global English,English,Core Software Positioning,Commercial,Vendor shortlist,Service page,/,Secondary candidate,,,,Validate in Semrush,Validate manually,High,"Company capabilities, clients, case studies, and delivery model",Research Required,Softzino service catalog and existing SEO planning files,2026-09-09,"Confirm country-level demand, intent, SERP type, and business fit before approval."
S-006,enterprise software development company,Global English,English,Core Software Positioning,Commercial,Vendor shortlist,Service page,/,Secondary candidate,,,,Validate in Semrush,Validate manually,High,"Company capabilities, clients, case studies, and delivery model",Research Required,Softzino service catalog and existing SEO planning files,2026-09-09,"Confirm country-level demand, intent, SERP type, and business fit before approval."
S-007,software outsourcing company,Global English,English,Core Software Positioning,Commercial,Vendor shortlist,Service page,/,Secondary candidate,,,,Validate in Semrush,Validate manually,High,"Company capabilities, clients, case studies, and delivery model",Research Required,Softzino service catalog and existing SEO planning files,2026-09-09,"Confirm country-level demand, intent, SERP type, and business fit before approval."
S-008,software consulting company,Global English,English,Core Software Positioning,Commercial,Vendor shortlist,Service page,/,Secondary candidate,,,,Validate in Semrush,Validate manually,High,"Company capabilities, clients, case studies, and delivery model",Research Required,Softzino service catalog and existing SEO planning files,2026-09-09,"Confirm country-level demand, intent, SERP type, and business fit before approval."
S-009,custom software development company,United States,English,Custom Software Development,Commercial,Vendor shortlist,Service page,/solutions/custom-software-solutions,Primary candidate,,,,Validate in Semrush,Validate manually,High,"Approved custom software case studies, process, IP terms, and project outcomes",Research Required,Softzino service catalog and existing SEO planning files,2026-09-09,Approved page target; validate exact Semrush metrics and avoid claiming Softzino is USA-based.
S-010,custom software development services,Global English,English,Custom Software Development,Commercial,Vendor shortlist,Service page,/solutions/custom-software-solutions,Secondary candidate,,,,Validate in Semrush,Validate manually,High,"Approved custom software case studies, process, IP terms, and project outcomes",Research Required,Softzino service catalog and existing SEO planning files,2026-09-09,"Confirm country-level demand, intent, SERP type, and business fit before approval."
