url,page_type,primary_keyword,secondary_keywords,intent,journey_stage,country,cluster,cta,status,notes
"/","Homepage","software development company","custom software development company; product engineering company; hire developers","Commercial","Problem aware","Global English; validate US CA UK DE","K-02","Discuss your project","Business Approval Required","Clarify main positioning and link to priority services."
"/about","Trust page","software engineering company","software development company profile; product engineering team","Navigational/commercial trust","Vendor shortlist","Global English","K-02","Meet Softzino","Business Approval Required","Needs legal name, leadership, office, and proof approval."
"/services","Service hub","software development services","product engineering services; cloud engineering services; data engineering services","Commercial","Solution aware","Global English","K-02","Explore services","Business Approval Required","Hub should support all service clusters."
"/hire-developers","Hiring hub","hire developers","hire dedicated developers; hire React developers; hire Node.js developers","Commercial","Decision","Global English; validate US UK Europe","K-17","Request engineering team","Business Approval Required","Primary hiring hub; lead routing and role model need approval."
"/off-the-shelf-solutions","Portfolio proof","business software solutions","ERP software solutions; POS software; education technology solution","Commercial investigation","Vendor shortlist","Global English","K-28","View proof","Business Approval Required","Use proof only after product permission."
"/solutions/custom-software-solutions","Commercial service page","custom software development company","custom software development services; custom software solutions company; custom application development company; enterprise custom software development; custom software developers","Commercial","Vendor shortlist","USA primary; international wording","K-01","Book discovery call","Implemented Locally","Only Custom Software commercial URL; proof and domain still need verification."
"/services/api-development","Service page","API development company","API development services; API integration services; REST API development","Commercial","Solution aware","Global English","K-06","Discuss API project","Research Required","Differentiate from system integration and backend services."
"/services/application-modernization","Service page","application modernization services","legacy application modernization; software modernization services","Commercial","Solution aware","Global English","K-08","Get assessment","Research Required","Needs modernization proof and assessment offer approval."
"/services/artificial-intelligence","Service page","AI development company","generative AI development company; LLM development company; machine learning development company","Commercial","Vendor shortlist","Global English","K-09","Discuss AI workflow","Research Required","Competitive SERP; requires demos, governance, and security proof."
"/services/cloud-consulting","Service page","cloud consulting services","cloud consulting company; cloud strategy consulting; cloud architecture consulting","Commercial","Vendor shortlist","Global English","K-11","Get cloud assessment","Research Required","Cloud platform and claim proof required."
"/services/cloud-managed-services","Service page","cloud managed services","managed cloud services; cloud operations services; cloud monitoring services","Commercial","Decision","Global English","K-11","Discuss cloud operations","Research Required","Needs SLA, coverage, monitoring, backup, and incident scope."
