"Category","KPI","Definition","Tool","Current Baseline","90-Day Directional Target","6-Month Target","12-Month Target","Assumptions","Owner","Review Frequency"
"Foundation","Lead delivery rate","Percent of submitted forms that reach the CRM or sales inbox","CRM and form logs","Unknown","100 percent tested delivery","100 percent maintained","100 percent maintained","Requires real backend or integration","Marketing operations","Weekly"
"Foundation","Sales response time","Time from lead submission to first human response","CRM","Unknown","Same business day","Under 4 business hours","Under 2 business hours","Requires assigned sales owner","Sales owner","Weekly"
"SEO","Non-brand organic clicks","Organic clicks excluding Softzino brand terms","Google Search Console","Unknown","Baseline established","20 to 40 percent growth from baseline","60 to 120 percent growth from baseline","Targets depend on baseline and implementation timing","SEO lead","Weekly"
"SEO","Priority keyword rankings","Rank positions for Tier 1 service keywords","Rank tracking tool","Unknown","Baseline established","More keywords in top 20","More keywords in top 10","Requires finalized keyword metrics","SEO lead","Weekly"
"SEO","Indexed priority pages","Tier 1 pages indexed and eligible to rank","Google Search Console","Unknown","All Tier 1 pages indexed","All new approved pages indexed","Healthy index coverage","Requires sitemap and canonical fixes","SEO lead","Monthly"
"Conversion","Service-page conversion rate","Qualified leads divided by service-page sessions","GA4 and CRM","Unknown","Baseline established","Improve by 15 to 30 percent","Improve by 30 to 60 percent","Requires event tracking and CRM fields","Marketing operations","Weekly"
"Conversion","Qualified lead rate","Qualified leads divided by total leads","CRM","Unknown","Baseline established","Improve through targeting","Improve through targeting and proof","Requires lead qualification rules","Sales owner","Weekly"
"Pipeline","Pipeline value by service","Opportunity value grouped by service interest","CRM","Unknown","Baseline established","Service-level pipeline visible","Budget decisions tied to service ROI","Requires opportunity value field","Sales owner","Monthly"
"Pipeline","Lead-to-opportunity rate","Percent of leads that become sales opportunities","CRM","Unknown","Baseline established","Improve through qualification","Improve through content and targeting","Requires consistent sales stages","Sales owner","Monthly"
"Pipeline","Close rate by source","Won deals divided by opportunities from each channel","CRM","Unknown","Not enough data yet","Baseline by source","Improve budget allocation by source","Requires source attribution","Owner and sales","Monthly"
"Paid Media","Cost per lead","Ad spend divided by total leads","Ad platform and CRM","Unknown","Only for small tests","Target set after baseline","Lower through optimization","Do not scale until qualified lead data exists","Marketing lead","Weekly during campaigns"
"Paid Media","Cost per qualified lead","Ad spend divided by qualified leads","Ad platform and CRM","Unknown","Baseline from small tests","Improve by campaign","Primary scale metric","Requires qualification rules","Marketing lead","Weekly during campaigns"
"LinkedIn","Website visits from LinkedIn","Sessions from LinkedIn campaigns and organic posts","GA4","Unknown","Baseline established","Consistent monthly growth","Consistent qualified traffic source","Requires UTM discipline","Marketing lead","Weekly"
"LinkedIn","Founder or company post engagement","Engagement rate on priority posts","LinkedIn analytics","Unknown","Baseline established","Improve content-market fit","Drive regular referral traffic","Requires posting cadence","Marketing lead","Weekly"
"Directories","Directory referral leads","Qualified leads from Clutch, GoodFirms, DesignRush, and similar sites","CRM and referral analytics","Unknown","Profiles reviewed","First referral baseline","Directory ROI visible","Requires verified profiles and reviews","Marketing lead","Monthly"
"Content","Published verified proof assets","Case studies or product stories approved for public use","Content tracker","0 confirmed in this plan","2 to 3 drafts","2 to 4 published","4 to 6 published","Requires client/product permission","Marketing and owner","Monthly"
"Content","Tier 1 page completion","Priority service pages improved with approved proof and CTA","Content tracker","Unknown","Custom software and hire pages ready","All Tier 1 pages improved","Continuous updates from sales data","Requires implementation approval","SEO lead","Weekly"
"Attribution","UTM compliance","Campaign links using approved UTM rules","GA4 and campaign QA","Unknown","90 percent plus","95 percent plus","95 percent plus","Requires campaign governance","Marketing operations","Weekly"
"Business","Average deal value by service","Won revenue divided by won deals by service","CRM or finance records","Unknown","Baseline requested","Baseline established","Use for service prioritization","Requires finance and sales data","Owner","Monthly"
"Business","Marketing-sourced revenue","Revenue from opportunities sourced by marketing","CRM and finance records","Unknown","Not expected immediately","Baseline established","Growth from proven channels","Requires closed-loop attribution","Owner","Quarterly"
