"Week","Working Title","Target ICP","Funnel Stage","Target Market","Primary Topic Or Keyword","Content Format","Distribution Channel","CTA","Supporting Service Page","Required SME","Priority","Status"
"1","Custom software discovery checklist for business owners","SME owner or COO","Middle","United States","custom software discovery","Checklist article","SEO and LinkedIn","Book a discovery call","https://softzino.com/solutions/custom-software-solutions/","Business analyst or product lead","High","Draft after owner verification"
"1","How to know if you need custom software or an off-the-shelf tool","Founder, COO, product leader","Top","United States","custom software vs off the shelf","Article","SEO and LinkedIn","Discuss your workflow","https://softzino.com/solutions/custom-software-solutions/","Product strategist","High","Draft after keyword data"
"2","What a dedicated software development team should include","CTO or product leader","Middle","United States","dedicated software development team","Article","SEO and LinkedIn","Request developers","https://softzino.com/services/dedicated-development-team/","Delivery lead","High","Needs service proof"
"2","Staff augmentation vs dedicated team","CTO, agency owner","Middle","United States","staff augmentation vs dedicated team","Comparison guide","SEO and sales enablement","Choose a team model","https://softzino.com/services/staff-augmentation/","Sales lead","High","Needs owner input"
"3","MVP scope planning guide for founders","Founder","Middle","United States","MVP development planning","Guide","SEO and LinkedIn","Book MVP planning call","https://softzino.com/services/mvp-development/","Product manager","High","Needs pricing input"
"3","Common mistakes that delay MVP launches","Founder","Top","United States","MVP development mistakes","LinkedIn article","LinkedIn","Plan your MVP","https://softzino.com/services/mvp-development/","Product manager","Medium","Draft later"
"4","How custom web applications reduce manual operations work","COO or business owner","Middle","United States","custom web application development","Article","SEO and LinkedIn","Scope a web app","https://softzino.com/services/web-application-development/","Engineering lead","High","Needs project examples"
"4","Web app development checklist for B2B teams","CTO or product leader","Middle","United States","web application development checklist","Checklist","SEO","Request web app estimate","https://softzino.com/services/web-application-development/","Engineering lead","Medium","Draft after keyword data"
"5","QA audit checklist before a major release","CTO, QA lead","Middle","United States","QA testing services","Checklist","SEO and LinkedIn","Request QA review","https://softzino.com/services/quality-engineering/","QA lead","High","Needs QA methods"
"5","Manual testing and automation testing: when each makes sense","Product leader, QA lead","Top","United States","manual vs automation testing","Article","SEO","Discuss QA support","https://softzino.com/services/quality-engineering/","QA lead","Medium","Draft later"
"6","DevOps readiness checklist for growing software teams","CTO or engineering manager","Middle","United States","DevOps consulting services","Checklist","SEO and LinkedIn","Request infrastructure review","https://softzino.com/services/devops/","DevOps lead","High","Needs tool proof"
"6","Cloud migration questions to answer before moving systems","Technology manager","Top","United States","cloud migration services","Article","SEO","Plan a cloud review","https://softzino.com/services/cloud-migration/","Cloud lead","Medium","Needs cloud proof"
"7","Case study: Hishabi business software story","SME owner or COO","Bottom","United States","business software case study","Case study","SEO, sales, LinkedIn","Discuss a similar project","https://softzino.com/off-the-shelf-solutions/","Product owner","High","Blocked by permission"
"7","Case study: Bidyava education platform story","Founder, education business","Bottom","United States","education software case study","Case study","SEO, sales, LinkedIn","Discuss a similar platform","https://softzino.com/off-the-shelf-solutions/","Product owner","High","Blocked by permission"
"8","How to brief a remote software development partner","Founder, CTO, COO","Middle","United States","software development brief","Guide","SEO and email","Send your project brief","https://softzino.com/solutions/custom-software-solutions/","Sales lead","Medium","Needs sales process"
"8","What to ask before hiring remote developers","CTO or product leader","Middle","United States","hire remote developers","Article","SEO and LinkedIn","Request developers","https://softzino.com/hire-developers/","Recruitment or delivery lead","High","Needs talent process"
"9","Custom software development cost factors","Founder, COO, CTO","Middle","United States","custom software development cost","Cost guide","SEO and paid search landing support","Book a discovery call","https://softzino.com/solutions/custom-software-solutions/","Owner and sales lead","High","Blocked by pricing policy"
"9","Dedicated development team cost factors","CTO or product leader","Middle","United States","dedicated development team cost","Cost guide","SEO and sales enablement","Request team model","https://softzino.com/services/dedicated-development-team/","Owner and delivery lead","High","Blocked by pricing policy"
"10","How to modernize legacy software without stopping operations","Technology manager, COO","Middle","United States","application modernization services","Article","SEO","Request modernization assessment","https://softzino.com/services/application-modernization/","Architecture lead","Medium","Needs examples"
"10","API integration checklist for business systems","CTO or technology manager","Middle","United States","API development company","Checklist","SEO","Discuss integration","https://softzino.com/services/api-development/","Backend lead","Medium","Needs project examples"
"11","Founder post: what Softzino learned building products since 2015","Founder, CTO, partner","Top","United States","software product engineering","Founder LinkedIn post","LinkedIn","Follow Softzino or book call","https://softzino.com/about/","Founder or CEO","Medium","Needs approval"
"11","Softzino product proof roundup","Founder, COO, CTO","Bottom","United States","software development portfolio","Proof article","SEO and sales","See product examples","https://softzino.com/off-the-shelf-solutions/","Marketing and product owner","High","Blocked by permission"
"12","How to choose a custom software development company","Founder, COO, CTO","Middle","United States","choose custom software development company","Guide","SEO","Book a consultation","https://softzino.com/solutions/custom-software-solutions/","Sales and delivery lead","High","Needs competitor review"
"12","Quarterly engineering partner checklist","CTO, product leader, agency owner","Middle","United States","software engineering partner checklist","Checklist","Email, LinkedIn, SEO","Request partner call","https://softzino.com/services/team-extension/","Delivery lead","Medium","Draft later"
