Keyword,Target Market,Service Topic,Intent,Modifier Angle,Recommended Validation Tool,Volume,CPC,Difficulty,Priority,Notes,Evidence Basis
"software development company","Global English","Core positioning","Commercial","B2B vendor search","Google Keyword Planner; Ahrefs/Semrush","Data required","Data required","Data required","High","Best homepage or custom software hub candidate; very competitive.","Repo service catalog; SERP pattern"
"custom software development company","Global English","Custom software","Commercial","Company/vendor","Google Keyword Planner; Ahrefs/Semrush","Data required","Data required","Data required","High","Current site has no dedicated custom software development page despite press kit mentioning custom software.","Repo press kit; SERP pattern"
"custom software development company","USA","Custom Software Solutions","Commercial","Approved implementation target","Approved SEO research record",">1000","Data required","Easy","High","Approved target mapped to /solutions/custom-software-solutions. USA keyword variations should remain secondary keywords, not separate pages.","User-approved SEO research record"
"custom software development services","Global English","Custom software","Commercial","Service-led","Google Keyword Planner; Ahrefs/Semrush","Data required","Data required","Data required","High","Could support a new core service landing page.","Repo service catalog; SERP pattern"
"product engineering company","Global English","Product engineering","Commercial","B2B product build","Google Keyword Planner; Ahrefs/Semrush","Data required","Data required","Data required","Medium","Matches current product engineering category and homepage language.","Repo service catalog"
"software product development company","Global English","Product engineering","Commercial","SaaS/product build","Google Keyword Planner; Ahrefs/Semrush","Data required","Data required","Data required","High","Good fit for startups and SaaS ICPs.","Repo services; hypothesis"
"MVP development company","Global English","MVP Development","Commercial","Startup launch","Google Keyword Planner; Ahrefs/Semrush","Data required","Data required","Data required","High","Existing page maps well; needs stronger proof and FAQs.","Repo service page"
"MVP development services","Global English","MVP Development","Commercial","Service-led","Google Keyword Planner; Ahrefs/Semrush","Data required","Data required","Data required","High","Use with MVP page.","Repo service page"
"web application development company","Global English","Web Application Development","Commercial","Company/vendor","Google Keyword Planner; Ahrefs/Semrush","Data required","Data required","Data required","High","Existing service page maps directly.","Repo service page"
"web app development services","Global English","Web Application Development","Commercial","Service-led","Google Keyword Planner; Ahrefs/Semrush","Data required","Data required","Data required","High","Use as secondary keyword for web application page.","Repo service page"
"enterprise web application development","Global English","Web Application Development","Commercial","Enterprise modifier","Google Keyword Planner; Ahrefs/Semrush","Data required","Data required","Data required","Medium","H1 currently emphasizes enterprise web solutions.","Repo service page"
"mobile app development company","Global English","Mobile App Development","Commercial","Company/vendor","Google Keyword Planner; Ahrefs/Semrush","Data required","Data required","Data required","High","Existing mobile app page has good service detail.","Repo service page"
"cross platform app development company","Global English","Mobile App Development","Commercial","Flutter/React Native","Google Keyword Planner; Ahrefs/Semrush","Data required","Data required","Data required","Medium","Supported by Flutter and React Native mentions.","Repo service page"
"API development company","Global English","API Development","Commercial","API product/integration","Google Keyword Planner; Ahrefs/Semrush","Data required","Data required","Data required","High","Existing API page maps directly.","Repo service page"
"API development services","Global English","API Development","Commercial","Service-led","Google Keyword Planner; Ahrefs/Semrush","Data required","Data required","Data required","High","Use as secondary keyword for API page.","Repo service page"
"backend development services","Global English","Web Service Development","Commercial","Backend systems","Google Keyword Planner; Ahrefs/Semrush","Data required","Data required","Data required","Medium","Better fit for web service development page than API page.","Repo service page"
"system integration company","Global English","System Integration","Commercial","Enterprise integration","Google Keyword Planner; Ahrefs/Semrush","Data required","Data required","Data required","High","Existing page maps directly.","Repo service page"
