id,url,workstream,implementation_priority,status,blockers,approval_status,qa_status,next_action,owner,notes
"SEO-001","/","Content","High","Business Approval Required","Approved canonical domain configured as https://www.softzino.com; live page is old site; approved SEO build not live; positioning, proof, lead routing, keyword metrics","Canonical approved; content approval required","Technical QA separate: live monitoring failed 2026-09-10 because old homepage metadata is served on production","Deploy approved canonical build, approve homepage positioning, and validate production after launch","Owner/Content","Not marked Deployed or Indexed; canonical host approved as https://www.softzino.com."
"SEO-002","/about","Content","Medium","Business Approval Required","Legal name, leadership, office facts, proof","Owner approval required","Not Started","Confirm approved company facts","Owner","Do not use unverified offices or awards."
"SEO-003","/services","Content","High","Business Approval Required","Approved canonical domain configured as https://www.softzino.com; live URL returns 404; approved services hub not live; tier 1 services and proof still require approval","Canonical approved; content approval required","Technical QA separate: live monitoring failed 2026-09-10 because production returns 404","Approve service hierarchy, deploy approved route, and run post-launch validation","Owner/Content","Not marked Deployed or Indexed."
"SEO-004","/hire-developers","Content/Conversion","High","Business Approval Required","Approved canonical domain configured as https://www.softzino.com; live URL returns 404; legacy /hireus returns 200 with no approved redirect; lead endpoint, roles, vetting, contracts, rates, analytics IDs, consent approval","Canonical approved; business approval required","Technical QA separate: local conversion QA passed; live monitoring failed 2026-09-10 because production returns 404","Provide real endpoint and analytics IDs; approve route and redirect from /hireus if required","Sales/Owner","Not marked Deployed or Indexed; approved events remain disabled safely until config and consent are supplied."
"SEO-005","/off-the-shelf-solutions","Proof","Medium","Business Approval Required","Product permissions, screenshots, client facts","Owner approval required","Not Started","Approve public product proof","Owner","Use only permissioned proof."
"SEO-006","/solutions/custom-software-solutions","Content/Technical","High","QA Passed","Approved canonical domain configured as https://www.softzino.com; live page is old site; lead endpoint, analytics IDs, approved legacy redirects, GSC, proof assets","Canonical approved; partial content approval only","Technical QA passed locally; live monitoring failed 2026-09-10 because production serves old metadata/content","Provide config values, deploy approved canonical build, and re-run live validation","Owner/Developer","Only custom software commercial URL; not marked Deployed or Indexed."
"SEO-007","/services/api-development","Content","High","Research Required","SERP, proof, security, integration examples","Not approved","Not Started","Complete brief and approve API proof","Content/Owner","Differentiate from backend and integration."
"SEO-008","/services/application-modernization","Content","High","Research Required","SERP, modernization proof, assessment CTA","Not approved","Not Started","Complete brief and approve assessment offer","Content/Owner","High-value B2B page."
"SEO-009","/services/artificial-intelligence","Content","High","Research Required","SERP, AI governance, demos, security proof","Not approved","Not Started","Validate AI offer and public proof","Content/Owner","Avoid unsupported AI claims."
"SEO-010","/services/cloud-consulting","Content","High","Research Required","SERP, platform claims, partner/SLA proof","Not approved","Not Started","Confirm cloud platforms and proof","Content/Owner","No partner claims without approval."
"SEO-011","/services/cloud-managed-services","Content","Medium","Research Required","SLA, coverage, monitoring stack, incident process","Not approved","Not Started","Define managed cloud scope","Owner/Content","MSP intent needs exact offer."
"SEO-012","/services/cloud-migration","Content","High","Research Required","SERP, platform examples, migration proof","Not approved","Not Started","Define migration process and risk controls","Content/Owner","Related to cloud consulting."
"SEO-013","/services/data-migration","Content","Medium","Research Required","SERP, data validation process, platform examples","Not approved","Not Started","Document migration scope and proof","Content/Owner","Keep distinct from cloud migration."
"SEO-014","/services/data-platform-engineering","Content","High","Research Required","SERP, data architecture, platform proof","Not approved","Not Started","Complete data platform brief","Content/Owner","Priority page."
"SEO-015","/services/data-strategy-and-governance","Content","Medium","Research Required","Governance frameworks and evidence","Not approved","Not Started","Define governance offer","Content/Owner","Support data cluster."
"SEO-016","/services/dedicated-development-team","Content","High","Research Required","Team model, roles, pricing policy, proof","Not approved","Not Started","Complete team-model brief","Sales/Content","Avoid overlap with hire developers."
"SEO-017","/services/devops","Content","High","Research Required","Toolchain, process, reliability proof","Not approved","Not Started","Complete DevOps brief","Content/Owner","No metrics without evidence."
"SEO-018","/services/embedded-systems","Content","Medium","Research Required","Technical proof, hardware examples","Not approved","Not Started","Confirm embedded capabilities","Owner/Content","Niche authority page."
"SEO-019","/services/experience-design","Content","Medium","Research Required","Offer definition, proof, UX research examples","Not approved","Not Started","Differentiate from UI/UX page","Content/Owner","Potential cannibalization."
"SEO-020","/services/forward-deployed-ai-engineering","Content","Medium","Research Required","Demand validation and delivery model","Not approved","Not Started","Validate service positioning","Owner/Content","Emerging intent."
"SEO-021","/services/iot-wearable-solutions","Content","Medium","Research Required","Device examples, platform proof","Not approved","Not Started","Confirm IoT proof","Owner/Content","Niche service page."
"SEO-022","/services/it-staffing","Content","Medium","Research Required","Recruiting vs augmentation model","Not approved","Not Started","Clarify staffing offer","Sales/Owner","Avoid overlap."
"SEO-023","/services/managed-engineering-team","Content","Medium","Research Required","SLA, governance, reporting proof","Not approved","Not Started","Define managed team model","Sales/Owner","Outcome-accountable team page."
"SEO-024","/services/marketing-automation","Content","Medium","Research Required","Platform focus and proof","Not approved","Not Started","Validate marketing automation offer","Owner/Content","May need platform-specific pages later."
"SEO-025","/services/mobile-app-development","Content","High","Business Approval Required","Approved canonical domain configured as https://www.softzino.com; live URL returns 404; legacy /services/mobile-application-development returns 200 with no approved redirect; portfolio proof, app launch process, platform claims","Canonical approved; content approval required","Technical QA separate: live monitoring failed 2026-09-10 because production returns 404","Approve mobile proof, deploy approved route, and approve redirect from legacy mobile URL if required","Content/Owner","Not marked Deployed or Indexed."
"SEO-026","/services/mvp-development","Content","High","Research Required","Founder proof, scope, timeline, pricing policy","Not approved","Not Started","Complete MVP brief","Content/Owner","High commercial fit."
"SEO-027","/services/physical-ai","Content","Medium","Research Required","Technical proof, safety language, demand validation","Not approved","Not Started","Validate physical AI offer","Owner/Content","Niche and emerging."
"SEO-028","/services/plugin-development","Content","Medium","Research Required","Platform focus and SERP demand","Not approved","Not Started","Validate plugin targets","Content/Owner","Potential long-tail page."
"SEO-029","/services/product-management","Content","Medium","Research Required","Standalone vs bundled offer","Not approved","Not Started","Clarify product management scope","Owner/Content","Supports MVP/product engineering."
"SEO-030","/services/quality-engineering","Content","High","Research Required","QA process, automation tools, proof","Not approved","Not Started","Complete QA brief","Content/Owner","Priority support page."
"SEO-031","/services/reporting-and-business-intelligence","Content","Medium","Research Required","Dashboard examples and tool proof","Not approved","Not Started","Validate BI offer","Content/Owner","Supports data cluster."
"SEO-032","/services/semiconductor-testing","Content","Medium","Research Required","Facilities, tooling, client permission","Not approved","Not Started","Confirm semiconductor proof","Owner/Content","Specialized page."
"SEO-033","/services/skill-development","Content","Low","Research Required","Training format, geography, demand","Not approved","Not Started","Decide if SEO priority","Owner","Lower priority."
"SEO-034","/services/staff-augmentation","Content","High","Research Required","Vetting, onboarding, contracts, rates, proof","Not approved","Not Started","Complete staff augmentation brief","Sales/Content","Avoid overlap with hire developers."
"SEO-035","/services/system-integration","Content","High","Research Required","ERP/CRM/API examples and proof","Not approved","Not Started","Complete integration brief","Content/Owner","Strong B2B intent."
