Seed ID,Keyword,Market,Service Cluster,Original Intent,Classified Intent,Intent Subtype,Funnel Stage,Searcher Goal,Recommended Page Type,Suggested Target URL,Mapping Action,Recommended CTA,Intent Confidence,SERP Validation Priority,Implementation Gate,Classification Basis,Business Value,Proof Needed,Notes
S-001,software development company,Global English,Core Software Positioning,Commercial,Commercial Investigation,Vendor selection,Decision,Compare and shortlist companies that provide core software positioning.,Commercial service page,/,Evaluate whether the homepage can satisfy this broad intent or whether a dedicated service hub is required.,Book a discovery call,Medium,High — broad homepage intent requires SERP review,Cluster review + site-inventory check required,"Semantic classification from keyword wording, service cluster, buyer stage, and planned URL. Live Google/Semrush SERPs have not yet been verified for every keyword.",High,"Company capabilities, clients, case studies, and delivery model",Do not create a separate page for a close keyword variation unless the live SERP shows materially different intent.
S-002,software engineering company,Global English,Core Software Positioning,Commercial,Commercial Investigation,Vendor selection,Decision,Compare and shortlist companies that provide core software positioning.,Commercial service page,/,Evaluate whether the homepage can satisfy this broad intent or whether a dedicated service hub is required.,Book a discovery call,Medium,High — broad homepage intent requires SERP review,Cluster review + site-inventory check required,"Semantic classification from keyword wording, service cluster, buyer stage, and planned URL. Live Google/Semrush SERPs have not yet been verified for every keyword.",High,"Company capabilities, clients, case studies, and delivery model",Do not create a separate page for a close keyword variation unless the live SERP shows materially different intent.
S-003,software development services,Global English,Core Software Positioning,Commercial,Commercial Investigation,Service procurement,Decision,Evaluate a provider for core software positioning.,Commercial service page,/,Evaluate whether the homepage can satisfy this broad intent or whether a dedicated service hub is required.,Book a discovery call,Medium,High — broad homepage intent requires SERP review,Cluster review + site-inventory check required,"Semantic classification from keyword wording, service cluster, buyer stage, and planned URL. Live Google/Semrush SERPs have not yet been verified for every keyword.",High,"Company capabilities, clients, case studies, and delivery model",Do not create a separate page for a close keyword variation unless the live SERP shows materially different intent.
S-004,product engineering company,Global English,Core Software Positioning,Commercial,Commercial Investigation,Vendor selection,Decision,Compare and shortlist companies that provide core software positioning.,Commercial service page,/,Evaluate whether the homepage can satisfy this broad intent or whether a dedicated service hub is required.,Book a discovery call,Medium,High — broad homepage intent requires SERP review,Cluster review + site-inventory check required,"Semantic classification from keyword wording, service cluster, buyer stage, and planned URL. Live Google/Semrush SERPs have not yet been verified for every keyword.",High,"Company capabilities, clients, case studies, and delivery model",Do not create a separate page for a close keyword variation unless the live SERP shows materially different intent.
S-005,digital product engineering services,Global English,Core Software Positioning,Commercial,Commercial Investigation,Service procurement,Decision,Evaluate a provider for core software positioning.,Commercial service page,/,Evaluate whether the homepage can satisfy this broad intent or whether a dedicated service hub is required.,Book a discovery call,Medium,High — broad homepage intent requires SERP review,Cluster review + site-inventory check required,"Semantic classification from keyword wording, service cluster, buyer stage, and planned URL. Live Google/Semrush SERPs have not yet been verified for every keyword.",High,"Company capabilities, clients, case studies, and delivery model",Do not create a separate page for a close keyword variation unless the live SERP shows materially different intent.
S-006,enterprise software development company,Global English,Core Software Positioning,Commercial,Commercial Investigation,Vendor selection,Decision,Compare and shortlist companies that provide core software positioning.,Commercial service page,/,Evaluate whether the homepage can satisfy this broad intent or whether a dedicated service hub is required.,Book a discovery call,Medium,High — broad homepage intent requires SERP review,Cluster review + site-inventory check required,"Semantic classification from keyword wording, service cluster, buyer stage, and planned URL. Live Google/Semrush SERPs have not yet been verified for every keyword.",High,"Company capabilities, clients, case studies, and delivery model",Do not create a separate page for a close keyword variation unless the live SERP shows materially different intent.
S-007,software outsourcing company,Global English,Core Software Positioning,Commercial,Commercial Investigation,Vendor selection,Decision,Compare and shortlist companies that provide core software positioning.,Commercial service page,/,Evaluate whether the homepage can satisfy this broad intent or whether a dedicated service hub is required.,Book a discovery call,Medium,High — broad homepage intent requires SERP review,Cluster review + site-inventory check required,"Semantic classification from keyword wording, service cluster, buyer stage, and planned URL. Live Google/Semrush SERPs have not yet been verified for every keyword.",High,"Company capabilities, clients, case studies, and delivery model",Do not create a separate page for a close keyword variation unless the live SERP shows materially different intent.
S-008,software consulting company,Global English,Core Software Positioning,Commercial,Commercial Investigation,Vendor selection,Decision,Compare and shortlist companies that provide core software positioning.,Commercial service page,/,Evaluate whether the homepage can satisfy this broad intent or whether a dedicated service hub is required.,Book a discovery call,Medium,High — broad homepage intent requires SERP review,Cluster review + site-inventory check required,"Semantic classification from keyword wording, service cluster, buyer stage, and planned URL. Live Google/Semrush SERPs have not yet been verified for every keyword.",High,"Company capabilities, clients, case studies, and delivery model",Do not create a separate page for a close keyword variation unless the live SERP shows materially different intent.
S-009,custom software development company,United States,Custom Software Development,Commercial,Commercial Investigation,Vendor selection,Decision,Compare and shortlist companies that provide custom software development.,Commercial service page,/solutions/custom-software-solutions,Consolidate into the approved Custom Software service-page cluster; do not create a duplicate route.,Book a discovery call,High,Medium — validate before implementation,Ready for cluster review; content implementation still requires validated metrics and SERP evidence,"Semantic classification from keyword wording, service cluster, buyer stage, and planned URL. Live Google/Semrush SERPs have not yet been verified for every keyword.",High,"Approved custom software case studies, process, IP terms, and project outcomes",Do not create a separate page for a close keyword variation unless the live SERP shows materially different intent.
S-010,custom software development services,Global English,Custom Software Development,Commercial,Commercial Investigation,Service procurement,Decision,Evaluate a provider for custom software development.,Commercial service page,/solutions/custom-software-solutions,Consolidate into the approved Custom Software service-page cluster; do not create a duplicate route.,Book a discovery call,High,Medium — validate before implementation,Ready for cluster review; content implementation still requires validated metrics and SERP evidence,"Semantic classification from keyword wording, service cluster, buyer stage, and planned URL. Live Google/Semrush SERPs have not yet been verified for every keyword.",High,"Approved custom software case studies, process, IP terms, and project outcomes",Do not create a separate page for a close keyword variation unless the live SERP shows materially different intent.
