"ID","Action","Why It Matters","ICP","Market","Funnel Stage","Owner","Prerequisites","KPI","Priority","Effort","Status","Related URL Or File"
"MKT-001","Verify official office locations and legal entities","Prevents misleading location claims","All","All","Foundation","Owner","Access to legal and office records","Approved claim sheet","High","Low","Not started","components/layout/Footer.tsx"
"MKT-002","Confirm whether USA and Australia offices can be publicly claimed","Current files show inconsistent location details","All","USA and Australia","Foundation","Owner","Legal and staffing confirmation","Approved location list","High","Low","Not started","app/imprint/page.tsx"
"MKT-003","Confirm current team size and definition of 100+ professionals","Supports trust claims without overstatement","All","All","Foundation","Owner and HR","Current headcount data","Approved team-size claim","High","Low","Not started","app/press-kit/page.tsx"
"MKT-004","Choose primary CRM or lead database","Required for lead tracking and follow-up","All","All","Foundation","Owner and sales","CRM decision","CRM selected","High","Medium","Not started","digital-marketing-plan/MEASUREMENT-AND-ATTRIBUTION.md"
"MKT-005","Test Hire Developers form from submission to sales inbox or CRM","Prevents lead loss","CTO and product leader","United States","Conversion","Marketing operations","CRM or inbox access","Lead delivery rate","High","Medium","Not started","components/TalentRequestForm.tsx"
"MKT-006","Assign sales owner and response-time SLA","Paid and organic leads need fast follow-up","All","United States","Conversion","Sales owner","Owner approval","Sales response time","High","Low","Not started","https://softzino.com/hire-developers/"
"MKT-007","Install or verify GA4 and Google Search Console","Needed for traffic and keyword reporting","All","All","Foundation","Marketing operations","Admin access","Non-brand organic clicks","High","Medium","Not started","seo-audit/TECHNICAL-SEO-AUDIT.md"
"MKT-008","Define GTM event plan for forms, email clicks, phone clicks, and booking CTAs","Needed to measure conversions","All","All","Foundation","Marketing operations","Tracking approval","Conversion events firing","High","Medium","Not started","digital-marketing-plan/MEASUREMENT-AND-ATTRIBUTION.md"
"MKT-009","Collect missing keyword metrics for Tier 1 services","Needed to prioritize SEO and paid search","All","United States","Foundation","SEO lead","Ahrefs, Semrush, Keyword Planner, or GSC access","Keyword metric coverage","High","Medium","Not started","seo-audit/KEYWORD-CLUSTERS.csv"
"MKT-010","Prepare technical SEO implementation brief","Sitemap, robots, canonical, metadata, schema, and analytics gaps limit performance","All","All","Foundation","SEO lead","Developer approval later","Indexed priority pages","High","Medium","Not started","seo-audit/TECHNICAL-SEO-AUDIT.md"
"MKT-011","Approve Tier 1 service list","Focus prevents budget dilution","All","All","Foundation","Owner","Delivery capacity review","Approved service priorities","High","Low","Not started","digital-marketing-plan/EXECUTIVE-SUMMARY.md"
"MKT-012","Create proof inventory for products and client projects","Buyers need evidence before inquiry","Founder, CTO, COO","United States","Bottom","Marketing and owner","Client permissions and screenshots","Published verified proof assets","High","Medium","Not started","https://softzino.com/off-the-shelf-solutions/"
"MKT-013","Draft custom software page improvement brief","This is the main SEO and campaign page","Founder, CTO, COO","United States","Middle","SEO lead","Keyword data and proof assets","Tier 1 page completion","High","Medium","Not started","https://softzino.com/solutions/custom-software-solutions/"
"MKT-014","Draft Hire Developers conversion improvement brief","This page has strong commercial intent","CTO and product leader","United States","Bottom","Conversion lead","Lead routing confirmation","Service-page conversion rate","High","Medium","Not started","https://softzino.com/hire-developers/"
"MKT-015","Differentiate dedicated team, staff augmentation, team extension, and hire developers pages","Reduces keyword cannibalization and buyer confusion","CTO and agency owner","United States","Middle","SEO lead","Service model definitions","Priority keyword rankings","High","Medium","Not started","seo-audit/TECHNICAL-SEO-AUDIT.md"
"MKT-016","Draft dedicated team page brief","Dedicated teams can support recurring revenue","CTO and product leader","United States","Middle","SEO lead","Team model proof","Tier 1 page completion","High","Medium","Not started","https://softzino.com/services/dedicated-development-team/"
"MKT-017","Draft staff augmentation page brief","Staff augmentation can capture hiring-intent demand","CTO and agency owner","United States","Bottom","SEO lead","Vetting and role availability","Qualified lead rate","High","Medium","Not started","https://softzino.com/services/staff-augmentation/"
"MKT-018","Draft MVP development page brief","Founders need scope and launch clarity","Founder","United States","Middle","SEO lead","Pricing and timeline input","Qualified leads","Medium","Medium","Not started","https://softzino.com/services/mvp-development/"
"MKT-019","Draft web application development page brief","Web apps are a core B2B service","CTO, COO","United States","Middle","SEO lead","Project examples","Qualified leads","Medium","Medium","Not started","https://softzino.com/services/web-application-development/"
"MKT-020","Draft quality engineering page brief","QA can create trust and recurring work","CTO, QA lead","United States","Middle","SEO lead and QA SME","QA methods and tools","QA leads","Medium","Low","Not started","https://softzino.com/services/quality-engineering/"
"MKT-021","Draft DevOps and cloud proof checklist","Avoids unsupported SLA or cloud claims","CTO and technology manager","United States","Middle","DevOps SME","Tool, certification, and support-hour proof","Technical assessment requests","Medium","Low","Not started","https://softzino.com/services/devops/"
"MKT-022","Create case study template","Standardizes proof collection","All","All","Bottom","Marketing","Owner-approved format","Published verified proof assets","High","Low","Not started","digital-marketing-plan/CONTENT-STRATEGY.md"
"MKT-023","Draft Hishabi case study if approved","Product proof can support custom software credibility","SME owner or COO","United States","Bottom","Marketing and product owner","Permission, screenshots, metrics","Published verified proof assets","High","Medium","Blocked by permission","https://softzino.com/off-the-shelf-solutions/"
"MKT-024","Draft Bidyava case study if approved","Supports education/platform credibility","Founder, education business","United States","Bottom","Marketing and product owner","Permission, screenshots, metrics","Published verified proof assets","Medium","Medium","Blocked by permission","https://softzino.com/off-the-shelf-solutions/"
"MKT-025","Build LinkedIn content queue for founders and company page","Builds trust before paid demand capture","Founder, CTO, agency owner","United States","Top","Marketing","Positioning approval","LinkedIn website visits","Medium","Medium","Not started","digital-marketing-plan/CONTENT-CALENDAR.csv"
"MKT-026","Set UTM rules for every campaign link","Keeps reporting clean","All","All","Foundation","Marketing operations","GA4 and campaign approval","UTM compliance","High","Low","Not started","digital-marketing-plan/MEASUREMENT-AND-ATTRIBUTION.md"
"MKT-027","Prepare exact-match paid search test plan","Allows controlled demand capture after tracking works","Founder, CTO, COO","United States","Bottom","Marketing lead","Keyword CPC data and conversion tracking","Cost per qualified lead","Medium","Medium","Blocked until tracking works","seo-audit/KEYWORD-CLUSTERS.csv"
"MKT-028","Prepare retargeting test plan","Brings back service-page visitors at lower risk","All","United States","Middle","Marketing lead","Consent and pixels approved","Return visitor conversion rate","Medium","Medium","Blocked until tracking works","digital-marketing-plan/BUDGET-SCENARIOS.md"
"MKT-029","Review Clutch, GoodFirms, and DesignRush profile opportunities","Directories are search competitors and referral channels","All","United States","Bottom","Marketing lead","Proof, reviews, profile access","Directory referral leads","Medium","Medium","Not started","digital-marketing-plan/COMPETITOR-ANALYSIS.md"
"MKT-030","Gather customer testimonials and usage permissions","Improves credibility on conversion pages","All","All","Bottom","Owner and marketing","Client permission","Published verified proof assets","High","Medium","Not started","components/home/TestimonialsSection.tsx"
"MKT-031","Define lead scoring and qualification rules","Separates low-quality inquiries from real opportunities","All","United States","Conversion","Sales owner","CRM selected","Qualified lead rate","High","Low","Not started","digital-marketing-plan/KPI-SCORECARD.csv"
"MKT-032","Create weekly marketing and sales review template","Keeps campaign learning tied to pipeline","All","All","Management","Owner and marketing","CRM and analytics access","Weekly review completed","Medium","Low","Not started","digital-marketing-plan/KPI-SCORECARD.csv"
"MKT-033","Build old-lead reactivation list if consent allows","Can create pipeline faster than cold traffic","Past leads","All","Middle","Sales and marketing","CRM or spreadsheet of past leads","Reactivated opportunities","Medium","Medium","Not started","digital-marketing-plan/CHANNEL-STRATEGY.md"
"MKT-034","Decide whether country pages are allowed in the next 12 months","Prevents premature local SEO work","All","USA, UK, Canada, Australia, Europe","Foundation","Owner","Office and market proof","Approved market list","Medium","Low","Not started","seo-audit/SEO-DATA-REQUIRED.md"
"MKT-035","Create custom software cost guide only after pricing policy is approved","Cost-intent traffic can be valuable but must be accurate","Founder, CTO, COO","United States","Middle","SEO and sales","Pricing policy","Organic leads from cost guide","Medium","Medium","Blocked by pricing policy","seo-audit/KEYWORD-CLUSTERS.csv"
"MKT-036","Create dedicated team cost guide only after rate model is approved","Helps commercial buyers compare options","CTO and product leader","United States","Middle","SEO and sales","Rate model","Organic leads from cost guide","Medium","Medium","Blocked by pricing policy","seo-audit/KEYWORD-CLUSTERS.csv"
"MKT-037","Define services that should not be marketed in first 90 days","Protects focus and avoids unsupported claims","All","All","Foundation","Owner","Service capacity review","Approved do-not-market list","High","Low","Not started","lib/services-data.ts"
"MKT-038","Audit all public location and office references before new marketing","Keeps website and campaigns consistent","All","All","Foundation","Owner and SEO lead","Official office confirmation","Location consistency","High","Medium","Not started","app/imprint/page.tsx"
