source_url,target_url,anchor_topic,placement,purpose,priority,status
"/","/services","software development services","Primary service section","Route broad visitors to service hub","High","Business Approval Required"
"/","/solutions/custom-software-solutions","custom software development","Hero or priority services","Send commercial software buyers to approved URL","High","Business Approval Required"
"/","/hire-developers","hire developers","Hero or team-growth CTA","Support hiring-intent conversion","High","Business Approval Required"
"/","/services/web-application-development","web application development","Service cards","Support high-intent web app page","High","Business Approval Required"
"/","/services/mobile-app-development","mobile app development","Service cards","Support high-intent mobile page","High","Business Approval Required"
"/services","/solutions/custom-software-solutions","custom software development services","Priority services section","Reinforce only custom software commercial URL","High","Business Approval Required"
"/services","/hire-developers","hire developers","Team services section","Route hiring-intent visitors","High","Business Approval Required"
"/services","/services/dedicated-development-team","dedicated development team","Team model section","Clarify team model options","High","Research Required"
"/services","/services/staff-augmentation","staff augmentation services","Team model section","Clarify augmentation option","High","Research Required"
"/services","/services/web-application-development","web application development services","Application services section","Support web app cluster","High","Business Approval Required"
"/services","/services/mobile-app-development","mobile app development services","Application services section","Support mobile app cluster","High","Business Approval Required"
"/services","/services/api-development","API development services","Integration services section","Support API cluster","High","Research Required"
"/services","/services/system-integration","system integration services","Integration services section","Support integration cluster","High","Research Required"
"/services","/services/application-modernization","application modernization services","Modernization section","Support modernization cluster","High","Research Required"
"/services","/services/cloud-consulting","cloud consulting services","Cloud services section","Support cloud cluster","High","Research Required"
"/services","/services/cloud-migration","cloud migration services","Cloud services section","Support migration cluster","High","Research Required"
"/services","/services/devops","DevOps consulting services","Cloud and delivery section","Support DevOps cluster","High","Research Required"
"/services","/services/data-platform-engineering","data engineering services","Data services section","Support data cluster","High","Research Required"
"/services","/services/quality-engineering","QA testing services","Quality services section","Support QA cluster","High","Research Required"
"/hire-developers","/services/dedicated-development-team","dedicated development team","Engagement model comparison","Avoid cannibalization with team model page","High","Research Required"
"/hire-developers","/services/staff-augmentation","staff augmentation services","Engagement model comparison","Clarify staff augmentation vs hiring hub","High","Research Required"
"/hire-developers","/services/team-extension","team extension services","Engagement model comparison","Clarify extension model","Medium","Research Required"
"/services/dedicated-development-team","/hire-developers","hire developers","CTA or comparison section","Capture individual role requests","High","Research Required"
"/services/staff-augmentation","/hire-developers","request developers","CTA or comparison section","Capture role-specific staffing leads","High","Research Required"
"/solutions/custom-software-solutions","/services/web-application-development","web application development","Related expertise","Support build-path relevance","High","Implemented Locally"
"/solutions/custom-software-solutions","/services/mobile-app-development","mobile app development","Related expertise","Support cross-platform product builds","High","Implemented Locally"
"/solutions/custom-software-solutions","/services/api-development","API development","Related expertise","Support integration and backend needs","High","Business Approval Required"
"/solutions/custom-software-solutions","/services/system-integration","system integration","Related expertise","Support enterprise workflow buyers","Medium","Implemented Locally"
"/solutions/custom-software-solutions","/services/quality-engineering","quality engineering","Related expertise","Support delivery quality proof","Medium","Implemented Locally"
"/solutions/custom-software-solutions","/services/devops","DevOps engineering","Related expertise","Support deployment and reliability proof","Medium","Implemented Locally"
"/services/web-application-development","/services/api-development","API development services","Related services","Differentiate web app and API intent","High","Research Required"
"/services/web-application-development","/services/system-integration","system integration","Architecture or related services","Support enterprise app workflows","Medium","Research Required"
"/services/mobile-app-development","/services/ui-ux-design","mobile UI UX design","Process or related services","Support design-to-build path","Medium","Research Required"
"/services/mobile-app-development","/services/api-development","mobile backend APIs","Related services","Support mobile backend integration","Medium","Research Required"
"/services/cloud-consulting","/services/cloud-migration","cloud migration services","Related services","Move strategy visitors toward execution","High","Research Required"
"/services/cloud-migration","/services/devops","DevOps automation","Related services","Support migration operations and CI/CD","Medium","Research Required"
"/services/data-platform-engineering","/services/reporting-and-business-intelligence","business intelligence dashboards","Related data services","Move platform buyers to reporting use cases","Medium","Research Required"
"/off-the-shelf-solutions","/solutions/custom-software-solutions","custom software solutions","Product proof section","Convert proof interest to commercial custom software page","High","Business Approval Required"
